"","Datum","Wochentag","Feiertag"
"4038","2022-01-01",6,1
"4039","2022-01-02",7,1
"4040","2022-01-03",1,0
"4041","2022-01-04",2,0
"4042","2022-01-05",3,0
"4043","2022-01-06",4,0
"4044","2022-01-07",5,0
"4045","2022-01-08",6,0
"4046","2022-01-09",7,0
"4047","2022-01-10",1,0
"4048","2022-01-11",2,0
"4049","2022-01-12",3,0
"4050","2022-01-13",4,0
"4051","2022-01-14",5,0
"4052","2022-01-15",6,0
"4053","2022-01-16",7,0
"4054","2022-01-17",1,0
"4055","2022-01-18",2,0
"4056","2022-01-19",3,0
"4057","2022-01-20",4,0
"4058","2022-01-21",5,0
"4059","2022-01-22",6,0
"4060","2022-01-23",7,0
"4061","2022-01-24",1,0
"4062","2022-01-25",2,0
"4063","2022-01-26",3,0
"4064","2022-01-27",4,0
"4065","2022-01-28",5,0
"4066","2022-01-29",6,0
"4067","2022-01-30",7,0
"4068","2022-01-31",1,0
"4069","2022-02-01",2,0
"4070","2022-02-02",3,0
"4071","2022-02-03",4,0
"4072","2022-02-04",5,0
"4073","2022-02-05",6,0
"4074","2022-02-06",7,0
"4075","2022-02-07",1,0
"4076","2022-02-08",2,0
"4077","2022-02-09",3,0
"4078","2022-02-10",4,0
"4079","2022-02-11",5,0
"4080","2022-02-12",6,0
"4081","2022-02-13",7,0
"4082","2022-02-14",1,0
"4083","2022-02-15",2,0
"4084","2022-02-16",3,0
"4085","2022-02-17",4,0
"4086","2022-02-18",5,0
"4087","2022-02-19",6,0
"4088","2022-02-20",7,0
"4089","2022-02-21",1,0
"4090","2022-02-22",2,0
"4091","2022-02-23",3,0
"4092","2022-02-24",4,0
"4093","2022-02-25",5,0
"4094","2022-02-26",6,0
"4095","2022-02-27",7,0
"4096","2022-02-28",1,0
"4097","2022-03-01",2,0
"4098","2022-03-02",3,0
"4099","2022-03-03",4,0
"4100","2022-03-04",5,0
"4101","2022-03-05",6,0
"4102","2022-03-06",7,0
"4103","2022-03-07",1,0
"4104","2022-03-08",2,0
"4105","2022-03-09",3,0
"4106","2022-03-10",4,0
"4107","2022-03-11",5,0
"4108","2022-03-12",6,0
"4109","2022-03-13",7,0
"4110","2022-03-14",1,0
"4111","2022-03-15",2,0
"4112","2022-03-16",3,0
"4113","2022-03-17",4,0
"4114","2022-03-18",5,0
